x,y,sy,sx
0,40.1,0.1,2
30,40.4,0.1,2
60,40.8,0.1,2
90,41.5,0.1,2
120,42.5,0.1,2
150,43.7,0.1,2
180,44.7,0.1,2
210,45.2,0.1,2
220,45.3,0.1,2
240,45,0.1,2
270,44.2,0.1,2
300,43.2,0.1,2
330,42.2,0.1,2
360,41.2,0.1,2
390,40.5,0.1,2
420,39.8,0.1,2
450,39.2,0.1,2
475,39,0.1,2
480,39,0.1,2
510,39.3,0.1,2
540,40,0.1,2
570,41.2,0.1,2
600,42.4,0.1,2
630,43.4,0.1,2
660,44.1,0.1,2
690,44.5,0.1,2
707,44.6,0.1,2
720,44.5,0.1,2
750,44.4,0.1,2
780,43.9,0.1,2
810,43,0.1,2
840,42.2,0.1,2
870,41.1,0.1,2
900,40.1,0.1,2
930,39.6,0.1,2
950,39.4,0.1,2
960,39.5,0.1,2
990,39.7,0.1,2
1020,40.3,0.1,2
1050,40.9,0.1,2
1080,41.8,0.1,2
1110,42.7,0.1,2
1140,43.5,0.1,2
1170,44.2,0.1,2
1200,44.5,0.1,2
1230,44.4,0.1,2
1260,44.1,0.1,2
1290,43.4,0.1,2
1320,42.6,0.1,2
1350,41.6,0.1,2
1380,40.9,0.1,2
1410,40.3,0.1,2
1440,39.9,0.1,2
1470,39.8,0.1,2
1500,40.1,0.1,2
1530,40.6,0.1,2
1560,41.4,0.1,2
1590,42.3,0.1,2
1620,43.2,0.1,2
1650,43.9,0.1,2
1680,44.2,0.1,2
1710,44.4,0.1,2
1740,44.3,0.1,2
1770,43.4,0.1,2
1800,43.1,0.1,2
1830,42.3,0.1,2
1860,41.5,0.1,2
1890,40.7,0.1,2
1920,40.2,0.1,2
1950,40,0.1,2
1980,40.2,0.1,2
2010,40.6,0.1,2
2040,41.2,0.1,2
2070,41.9,0.1,2
2100,42.7,0.1,2
2130,43.4,0.1,2
2160,43.9,0.1,2
2190,44.1,0.1,2
2196,44.2,0.1,2
2220,44.2,0.1,2
2250,43.9,0.1,2
2280,43.4,0.1,2
2310,42.7,0.1,2
2340,41.9,0.1,2
2370,41.3,0.1,2
2400,40.8,0.1,2
2430,40.5,0.1,2
2460,40.4,0.1,2
2490,40.6,0.1,2
2520,41,0.1,2
2550,41.6,0.1,2
2580,42.2,0.1,2
2610,42.9,0.1,2
2640,43.4,0.1,2
2670,43.8,0.1,2
2700,43.9,0.1,2
2730,43.7,0.1,2
2760,43.4,0.1,2
2790,42.9,0.1,2
2820,42.3,0.1,2
2850,41.6,0.1,2
2880,41.1,0.1,2
2910,40.7,0.1,2
2940,40.5,0.1,2
2970,40.6,0.1,2
3000,40.9,0.1,2
3030,41.4,0.1,2
3060,42,0.1,2
3090,42.5,0.1,2
3120,43,0.1,2
3150,43.4,0.1,2
3180,43.6,0.1,2
3201,43.7,0.1,2
3210,43.6,0.1,2
3240,43.4,0.1,2
3270,43,0.1,2
3300,42.5,0.1,2
3330,42,0.1,2
3360,41.5,0.1,2
3390,41.4,0.1,2
3420,40.9,0.1,2
3450,40.8,0.1,2
3480,41,0.1,2
3510,41.3,0.1,2
3540,41.7,0.1,2
3570,42.2,0.1,2
3600,42.6,0.1,2
3630,43,0.1,2
3660,43.2,0.1,2
3690,43.3,0.1,2
3720,43.2,0.1,2
3750,42.9,0.1,2
3780,42.5,0.1,2
3810,42.1,0.1,2
3840,41.6,0.1,2
3870,41.3,0.1,2
3900,41.1,0.1,2
3930,41,0.1,2
3960,41.1,0.1,2
3990,41.4,0.1,2
4020,41.7,0.1,2
4050,42.1,0.1,2
4080,42.6,0.1,2
4110,42.9,0.1,2
4140,43.2,0.1,2
4170,43.2,0.1,2
4185,43.2,0.1,2
4200,43.1,0.1,2
4230,43,0.1,2
4260,42.6,0.1,2
4290,42.3,0.1,2
4320,41.9,0.1,2
4350,41.6,0.1,2
4380,41.3,0.1,2
4410,41.2,0.1,2
4425,41.2,0.1,2
4440,41.2,0.1,2
4470,41.3,0.1,2
4500,41.6,0.1,2
4530,41.9,0.1,2
4560,42.3,0.1,2
4590,42.6,0.1,2
4620,42.9,0.1,2
4650,43,0.1,2
4665,43.1,0.1,2
4680,43,0.1,2
4710,42.9,0.1,2
4740,42.7,0.1,2
4770,42.4,0.1,2
4800,42.1,0.1,2
4830,41.8,0.1,2
4860,41.6,0.1,2
4890,41.4,0.1,2
4920,41.3,0.1,2
4950,41.4,0.1,2
4980,41.6,0.1,2
5010,41.8,0.1,2
5040,42.1,0.1,2
5070,42.4,0.1,2
5100,42.7,0.1,2
5130,42.9,0.1,2
5160,42.9,0.1,2
5190,42.9,0.1,2
5220,42.8,0.1,2
5250,42.6,0.1,2
5280,42.2,0.1,2
5310,42,0.1,2
5340,41.7,0.1,2
5370,41.5,0.1,2
5400,41.4,0.1,2
5430,41.5,0.1,2
5460,41.6,0.1,2
5490,41.8,0.1,2
5520,42,0.1,2
5550,42.3,0.1,2
