x,y,sy,sx
98.14,417,0.14,2.5
150.25,435,0.25,2.5
180.1,444,0.1,2.5
211.4,447,1.4,2.5
240.22,447,0.22,2.5
270.15,442,0.15,2.5
300.25,434,0.25,2.5
320.03,428,0.03,2.5
340.19,421,0.19,2.5
360.2,414,0.2,2.5
390.08,405,0.08,2.5
420.62,398,0.62,2.5
450.32,393,0.32,2.5
480.25,391,0.25,2.5
510.17,393,0.17,2.5
540.14,399,0.14,2.5
570.51,407,0.51,2.5
600.01,417,0.01,2.5
630.26,426,0.26,2.5
660.29,434,0.29,2.5
690.24,439,0.24,2.5
720.22,441,0.22,2.5
750.4,440,0.4,2.5
780.27,436,0.27,2.5
840.17,421,0.17,2.5
901.74,402,1.74,2.5
960.29,394,0.29,2.5
1020.14,397,0.14,2.5
1079.88,411,0.12,2.5
1140.02,427,0.02,2.5
1199.86,438,0.14,2.5
1260.03,436,0.03,2.5
1320.08,424,0.08,2.5
1380.15,408,0.15,2.5
1440.22,398,0.22,2.5
1500.01,398,0.01,2.5
1590.04,416,0.04,2.5
1619.97,423,0.03,2.5
1680.19,434,0.19,2.5
1739.89,435,0.11,2.5
1799.94,427,0.06,2.5
1860.14,413,0.14,2.5
1920.18,402,0.18,2.5
1980.17,400,0.17,2.5
2040.37,408,0.37,2.5
2099.99,421,0.01,2.5
2160.46,432,0.46,2.5
2221.78,434,1.78,2.5
2279.75,427,0.25,2.5
2340.15,414,0.15,2.5
2399.77,404,0.23,2.5
2460.29,399,0.29,2.5
2520.79,404,0.79,2.5
2581.06,416,1.06,2.5
2640.35,427,0.35,2.5
2700.14,432,0.14,2.5
